; C128 Platform file.
; Taken from a PDF of the C128 Programmers reference guide, pasted to file, cleaned, then
; imported, saved, cleaned again for duplicates, merged with imported ReGenerator labels and comment files,
; added additional chip register symbols
;---------------------------------------------------------------------------------------------------------
0000,D6510,6510 Data Direction Register
D410,SIDREG17,Voice 3: Pulse Waveform Width - Low-Byte
D411,SIDREG18,Voice 3: Pulse Waveform Width - High-Nybble
D412,SIDREG19,Voice 3: Control Register
D413,SIDREG20,Voice 3: Attack / Decay Cycle Control
D414,SIDREG21,Voice 3: Sustain / Release Cycle Control
D415,SIDREG22,Filter Cutoff Frequency: Low-Nybble
D416,SIDREG23,Filter Cutoff Frequency: High-Byte
D417,SIDREG24,Filter Resonance Control / Voice Input Control
D418,SIDREG25,Select Filter Mode and Volume
D419,SIDREG26,Analog/Digital Converter: Game Paddle 1
D41A,SIDREG26,Analog/Digital Converter: Game Paddle 2
D41B,SIDREG28,Oscillator 3 Output
D41C,SIDREG29,Envelope Generator 3 Output
D500,MMUREG01,C128: Configuration Register (CR)
D501,MMUREG02,C128: Preconfiguration Register
D502,MMUREG03,C128: Preconfiguration Register
D503,MMUREG04,C128: Preconfiguration Register
D504,MMUREG05,C128: Preconfiguration Register
D505,MMUREG06,C128: 40/80 read only
D506,MMUREG07,C128: RAM Configuration Register (RCR)
D507,MMUREG08,C128: Zero Page Pointer Lo
D508,MMUREG09,C128: Zero Page Pointer Hi
D509,MMUREG10,C128: Stack Page Pointer Lo
D50A,MMUREG11,C128: Stack Page Pointer Hi
D50B,MMUREG12,C128: MMU Version Register
D600,VDCREG01,C128: VDC Register 1
D601,VDCREG02,C128: VDC Register 2
DC00,CIA1REG01,CIA1: Data Port Register A
DC01,CIA1REG02,CIA1: Data Port Register B
DC02,CIA1REG03,CIA1: Data Direction Register A
DC03,CIA1REG04,CIA1: Data Direction Register B
DC04,CIA1REG05,CIA1: Timer A: Low-Byte
DC05,CIA1REG06,CIA1: Timer A: High-Byte
DC06,CIA1REG07,CIA1: Timer B: Low-Byte
DC07,CIA1REG08,CIA1: Timer B: High-Byte
DC08,CIA1REG09,CIA1: Time-of-Day Clock: 1/10 Seconds
DC09,CIA1REG10,CIA1: Time-of-Day Clock: Seconds
DC0A,CIA1REG11,CIA1: Time-of-Day Clock: Minutes
DC0B,CIA1REG12,CIA1: Time-of-Day Clock: Hours + AM/PM Flag
DC0C,CIA1REG13,CIA1: Synchronous Serial I/O Data Buffer
DC0D,CIA1REG14,CIA1: CIA Interrupt Control Register
DC0E,CIA1REG15,CIA1: CIA Control Register A
DC0F,CIA1REG16,CIA1: CIA Control Register B
DD00,CIA1REG17,CIA2: Data Port Register A
DD01,CIA1REG18,CIA2: Data Port Register B
DD02,CIA1REG19,CIA2: Data Direction Register A
DD03,CIA2REG01,CIA2: Data Direction Register B
DD04,CIA2REG02,CIA2: Timer A: Low-Byte
DD05,CIA2REG03,CIA2: Timer A: High-Byte
DD06,CIA2REG04,CIA2: Timer B: Low-Byte
DD07,CIA2REG05,CIA2: Timer B: High-Byte
DD08,CIA2REG06,CIA2: Time-of-Day Clock: 1/10 Seconds
DD09,CIA2REG07,CIA2: Time-of-Day Clock: Seconds
DD0A,CIA2REG08,CIA2: Time-of-Day Clock: Minutes
DD0B,CIA2REG09,CIA2: Time-of-Day Clock: Hours + AM/PM Flag
DD0C,CIA2REG10,CIA2: Synchronous Serial I/O Data Buffer
DD0D,CIA2REG11,CIA2: CIA Interrupt Control Register
DD0E,CIA2REG12,CIA2: CIA Control Register A
DD0F,CIA2REG13,CIA2: CIA Control Register B
DF00,DMAREG01,C128: DMA ST STATUS
DF01,DMAREG02,C128: DMA CMD COMMAND
DF02,DMAREG03,C128: DMA ADL HOST ADDRESS LOW
DF03,DMAREG04,C128: DMA ADH HOST ADDRESS HIGH
DF04,DMAREG05,C128: DMA LO EXPANSION ADDRESS LOW
DF05,DMAREG06,C128: DMA HI EXPANSION ADDRESS HIGH
DF06,DMAREG07,C128: DMA BNK EXPANSION BANK
DF07,DMAREG08,C128: DMA DAL TRANSFER LENGTH LOW
DF08,DMAREG09,C128: DMA DAH TRANSFER LENGTH HIGH
DF09,DMAREG10,C128: DMA SUM INTERRUPT MASK REGISTER
DF0A,DMAREG11,C128: DMA VER VERSION, MAXIMUM MEMORY
;---- KERNAL
E000,,$E000 Reset Code
E056,,$E056 -restor-
E05B,,$E05B -vector-
E093,,$E093 -ramtas-
E0CD,,$E0CD Move Code For High RAM Banks
E109,,$E109 -init-
E1DC,,$E1DC Set Up CRTC Registers
E1F0,,$E1F0 Check Special Reset
E242,,$E242 Reset to 64/128
E24B,,$E24B Switch to 64 Mode
E263,,$E263 Code to $02
E26B,,$E26B Scan All ROMs
E33B,,$E33B -talk-
E33E,,$E33E -listen-
E38C,,$E38C Send Data On Serial Bus
E43E,,$E43E -acptr-
E4D2,,$E4D2 -second-
E4E0,,$E4E0 -tksa-
E503,,$E503 -ciout-  Print Serial
E515,,$E515 -untlk-
E526,,$E526 -unlsn-
E535,,$E535 Reset ATN
E545,,$E545 Set Clock High
E54E,,$E54E Set Clock Low
E557,,$E557 Set Data High
E560,,$E560 Set Data Low
E569,,$E569 Read Serial Lines
E573,,$E573 Stabilize Timing
E59F,,$E59F Restore Timing
E5BC,,$E5BC Prepare For Response
E5C3,,$E5C3 Fast Disk Off
E5D6,,$E5D6 Fast Disk On
E5FB,,$E5FB Fast Disk On/Off
E5FF,,$E5FF (NMI) Transmit RS-232
E64A,,$E64A RS-232 Handshake
E68E,,$E68E Set RS-232 Bit Count
E69D,,$E69D (NMI) RS-232 Receive
E75F,,$E75F Send To RS-232
E795,,$E795 Connect RS-232 Input
E7CE,,$E7CE Get From RS-232
E7EC,,$E7EC Interlock RS-232/Serial
E805,,$E805 (NMI) RS-232 Control I/O
E878,,$E878 (NMI) RS-232 Receive Timing
E8A9,,$E8A9 (NMI) RS-232 Transmit Timing
E8D0,,$E8D0 Find Any Tape Header
E919,,$E919 Write Tape Header
E980,,$E980 Get Buffer Address
E987,,$E987 Get Tape Buffer Start & End Addrs
E99A,,$E99A Find Specific Header
E9BE,,$E9BE Bump Tape Pointer
E9C8,,$E9C8 Print 'press play on tape'
E9DF,,$E9DF Check Tape Status
E9E9,,$E9E9 Print 'press record ...'
E9F2,,$E9F2 Initiate Tape Read
EA15,,$EA15 Initiate Tape Write
EA26,,$EA26 Common Tape Code
EA7D,,$EA7D Wait For Tape
EA8F,,$EA8F Check Tape Stop
EAA1,,$EAA1 Set Read Timing
EAEB,,$EAEB (IRQ) Read Tape Bits
EC1F,,$EC1F Store Tape Chars
ED51,,$ED51 Reset Pointer
ED5A,,$ED5A New Char Set Up
ED69,,$ED69 Write Transition to Tape
ED8B,,$ED8B Write Data to Tape
ED90,,$ED90 (IRQ) Tape Write
EE2E,,$EE2E (IRQ) Tape Leader
EE57,,$EE57 Wind Up Tape I/O
EE9B,,$EE9B Switch IRQ Vector
EEB0,,$EEB0 Kill Tape Motor
EEB7,,$EEB7 Check End Address
EEC1,,$EEC1 Bump Address
EEC8,,$EEC8 (IRQ) Clear Break
EED0,,$EED0 Control Tape Motor
EEEB,,$EEEB -getin-
EF06,,$EF06 -chrin-
EF48,,$EF48 Get Char From Tape
EF79,,$EF79 -chrout-
EFBD,,$EFBD -open-
F0B0,,$F0B0 Set CIA to RS-232
F0CB,,$F0CB Check Serial Open
F106,,$F106 -chkin-
F14C,,$F14C -chkout-
F188,,$F188 -close-
F1E4,,$F1E4 Delete File
F202,,$F202 Search For File
F212,,$F212 Set File Parameters
F222,,$F222 -clall-
F226,,$F226 -clrchn-
F23D,,$F23D Clear I/O Path
F265,,$F265 -load-
F27B,,$F27B Serial Load
F32A,,$F32A Tape Load
F3A1,,$F3A1 Disk Load
F3EA,,$F3EA Burst Load
F48C,,$F48C Close Off Serial
F4BA,,$F4BA Get Serial Byte
F4C5,,$F4C5 Receive Serial Byte
F503,,$F503 Toggle Clock Line
F50F,,$F50F Print 'searching'
F521,,$F521 Send File Name
F533,,$F533 Print 'loading'
F53E,,$F53E -save-
F5B5,,$F5B5 Terminate Serial Input
F5BC,,$F5BC Print 'saving'
F5C8,,$F5C8 Save to Tape
F5F8,,$F5F8 -udtim-
F63D,,$F63D Watch For RUN or Shift
F65E,,$F65E -rdtim-
F665,,$F665 -settim-
F66E,,$F66E -stop-
F67C,,$F67C Print 'too many files'
F67F,,$F67F Print 'file open'
F682,,$F682 Print 'file not open'
F685,,$F685 Print 'file not found'
F688,,$F688 Print 'device not present'
F68B,,$F68B Print 'not input file'
F68E,,$F68E Print 'not output file'
F691,,$F691 Print 'missing file name'
F694,,$F694 Print 'illegal device no'
F697,,$F697 Error #0
F71E,,$F71E Print If Direct
F722,,$F722 Print I/O Message
F731,,$F731 -setnam-
F738,,$F738 -setlfs-
F73F,,$F73F Set Load/Save Bank
F744,,$F744 -rdst-
F757,,$F757 Set Status Bit
F75C,,$F75C -setmsg-
F75F,,$F75F Set Serial Timeout
F763,,$F763 -memtop-
F772,,$F772 -membot-
F781,,$F781 -iobase-
F786,,$F786 Search For SA
F79D,,$F79D Search & Set Up File
F7A5,,$F7A5 Trigger DMA
F7AE,,$F7AE Get Char From Memory
F7BC,,$F7BC Store Loaded Byte
F7C9,,$F7C9 Read Byte to be Saved
F7D0,,$F7D0 Get Char From Memory Bank
F7DA,,$F7DA Store Char to Memory Bank
F7E3,,$F7E3 Compare Char With Memory Bank
F7EC,,$F7EC Load Memory Control Mask
F800,,$F800 Subroutines to $02a2-$02fb
F85A,,$F85A DMA Code to $03f0
F867,,$F867 Check Auto Start ROM
F890,,$F890 Check For Boot Disk
F908,,$F908 Print 'booting'
F92C,,$F92C Print '...'
F98B,,$F98B Wind Up Disk Boot
F9B3,,$F9B3 Read Next Boot Block
F9FB,,$F9FB To 2-Digit Decimal
FA17,,$FA17 Print a Message
FA40,,$FA40 NMI Sequence
FA65,,$FA65 (IRQ) Normal Entry
FC62,,$FC62 Patch for Set Up CRTC Registers
FC80,,$FC80 ?
FC87,,$FC87 Init KBD Translation Tables
FCC6,,$FCC6 DIN Keyboard patch for Key Pickup
FF00,,$FF00 C128: MMU Configuration Register
FF01,,$FF01 C128: MMU LCR: Bank 0
FF02,,$FF02 C128: MMU LCR: Bank 1
FF03,,$FF03 C128: MMU LCR: Bank 14
FF04,,$FF04 C128: MMU LCR: Bank 14 Over RAM 1
FF05,,$FF05 NMI Transfer Entry
FF17,,$FF17 IRQ Transfer Entry
FF33,,$FF33 Return From Interrupt
FF3D,,$FF3D Reset Transfer Entry
FF47,SPINSPOUT,Set up Fast Serial Port for I/O
FF4A,CLOSEALL,Close All Logical Files for a device
FF4D,C64MODE,Reconfigure System as a C64 (no return)
FF50,DMACALL,Initiate DMA Request to External RAM 
FF53,BOOTCALL,Boot Load Program From Disk
FF56,PHOENIX,Call All Function Cards' Cold Start Routines
FF59,LKUPLA,Search Tables For Given LA
FF5C,LKUPSA,Search Tables For Given SA
FF5F,SWAPPER,Switch Between 40 and 80 Columns (Editor)
FF62,DLCHR,Init 80-Col Character RAM (Editor)
FF65,PFKEY,Program Function Key (Editor)
FF68,SETBNK,SET Bank For I/O Operations
FF6B,GETCFG,Lookup MMU Data For Given Bank
FF6E,JSRFAR,JSR to Any Bank
FF71,JMPFAR,to Any Bank
FF74,INDFET,LDA (FETVEC)
FF77,INDSTA,STA (STAVEC)
FF7A,INDCMP,CMP (CMPVEC)
FF7D,PRIMM,Print Immediate Utility (Always JSR to this routine)
FF80,KERNALVER,Release Number Of KERNAL
FF81,CINT,Init Editor & Display
FF84,IOINIT,Init I/O Devices (ports
FF87,RAMTAS,Initialize RAM And Buffers For System
FF8A,RESTOR,Restore Vectors to Initial System
FF8D,VECTOR,Change Vectors For USER
FF90,SETMSG,Control O.S. Message
FF93,SECND,Send SA After LISTEN
FF96,TKSA,Send SA After TALK
FF99,MEMTOP,Set/Read Top Of System RAM
FF9C,MEMBOT,Set/Read Bottom Of System RAM
FF9F,KEY,Scan Keyboard (Editor)
FFA2,SETTMO,Set Timeout In IEEE (reserved)
FFA5,ACPTR,Handshake Serial Byte In
FFA8,CIOUT,Handshake Serial Byte Out
FFAB,UNTLK,Send UNTALK Out Serial
FFAE,UNLSN,Send UNLISTEN Out Serial
FFB1,LISTN,Send LISTEN Out Serial
FFB4,TALK,Send TALK Out Serial
FFB7,READSS,Return I/O Status Byte
FFBA,SETLFS,Set LA
FFBD,SETNAM,Set Length And File Name Address
FFC0,OPEN,OPEN Logical File
FFC3,CLOSE,CLOSE Logical File
FFC6,CHKIN,Set Channel In
FFC9,CKOUT,Set Channel Out
FFCC,CLRCH,Restore Default I/O Channel
FFCF,CHRIN,INPUT From Channel
FFD2,CHROUT,OUTPUT To Channel
FFD5,LOADSP,LOAD From File
FFD8,SAVESP,SAVE to File
FFDB,SETTIM,Set Internal Clock
FFDE,RDTIM,Read Internal Clock
FFE1,STOP,Scan STOP Key
FFE4,GETIN,Read Buffered Data
FFE7,CLALL,Close All Files And Channels
FFEA,UDTIM,Increment Internal Clock
FFED,SCRORG,Return Screen Window Size (Editor)
FFF0,PLOT,Read/Set X
FFF3,IOBASE,Return I/O Base
FFF8,SYSTEM,Operating System Vector (RAM1)
FFFA,NMI,Processor NMI Vector
FFFC,RESET,Processor RESET Vector
FFFE,IRQ,Processor IRQ/BRK Vector
